caller_id,home_prefecture
06BA9LHR,OTI
0706DUPJ,AGOE-NYIVE
0HHVC11B,TCHAOUDJO
1DJTB0AG,AGOE-NYIVE
1S9T7ERF,KOZAH
23RJAXQ1,DANKPEN
2B4LACSW,LOME COMMUNE
3D70JPBF,LOME COMMUNE
3H7ROWGG,HAHO
3VZAX0RR,GOLFE
41PJSO2K,GOLFE
4SEEL57M,DANYI
536AAL2Y,GOLFE
5M28L1MF,AGOE-NYIVE
5OV4ISV8,PLAINE DU MO
64BII0RU,LOME COMMUNE
6EUR8NQU,TCHAOUDJO
6HEE149Y,LOME COMMUNE
6I3K0MVW,LOME COMMUNE
6KQE9FYV,KERAN
6RUMEMGE,BLITTA
6Y16JW65,BASSAR
786DVPTE,TCHAMBA
7G2T9TPC,TCHAOUDJO
7G8IQ6MS,PLAINE DU MO
7ISEBFWJ,AGOE-NYIVE
7N3IRJTC,GOLFE
850ILZ3A,AGOE-NYIVE
88CD40YL,OGOU
8A0F9A5Y,LOME COMMUNE
8FA9GEXM,AGOE-NYIVE
8TG8O2BF,EST-MONO
8URS19PI,DANYI
9B0R7O7F,LOME COMMUNE
9QZ0HCVE,LOME COMMUNE
AEOYEEI1,KPENDJAL-OUEST
AZT67X0T,KPENDJAL
B5ZATI54,AGOE-NYIVE
BDOD6BTL,LOME COMMUNE
BWUDB7OK,LOME COMMUNE
BZFQY2QR,MOYEN-MONO
CHK6RZDS,KERAN
CJEB2UOC,TCHAOUDJO
CO9IM36S,TCHAOUDJO
COD1SBB0,OTI
CPIQJ5U0,LOME COMMUNE
CV9F4FO6,KPENDJAL-OUEST
CV9MTN0Y,DANKPEN
DVO6WS7K,KOZAH
DZX7JJ0X,TCHAOUDJO
E35NJHCH,BLITTA
EEVGEQPH,PLAINE DU MO
EW1CU6MB,LOME COMMUNE
FG4TKMTL,OTI
FMFIYFMH,OGOU
FQ1Z0P2T,TCHAOUDJO
FRS832YF,LOME COMMUNE
FWGZVNWU,GOLFE
GXMHRRRQ,WAWA
H3N42UUB,LOME COMMUNE
HDXVWMQ5,LOME COMMUNE
HNHOUXJM,ANIE
HWD6GQ16,LOME COMMUNE
I78A4ZYA,LOME COMMUNE
I8EZDI9H,LOME COMMUNE
IDOFCO72,DANYI
IDXIWF9Y,AGOU
IFOFOESU,LOME COMMUNE
ISF3IT7O,AKEBOU
ITNVWCA4,LOME COMMUNE
IU9XRLE9,ASSOLI
JRCMCAKE,DANKPEN
JTZ8NTNT,PLAINE DU MO
JYY4GIFI,KPENDJAL
KQTDS8US,HAHO
KSUQVRSH,OTI-SUD
L1DKO6MV,TCHAOUDJO
L98725AW,TCHAOUDJO
LFXCTNCS,GOLFE
LUJ3QL62,LOME COMMUNE
LWA939JH,LOME COMMUNE
M3MCR0YC,LOME COMMUNE
MPQMSOBP,ASSOLI
N6OH31ZA,AGOE-NYIVE
N74H5WB8,ANIE
N8HKPIK4,LOME COMMUNE
NIF6UYTN,TCHAOUDJO
NRPQOXJW,LOME COMMUNE
OG6WSZ4Y,KPENDJAL-OUEST
OHGI1JNY,AGOE-NYIVE
OK4PTTMX,OTI
OO66L484,GOLFE
OT5GIBEA,GOLFE
OW8BY9KD,KOZAH
PUUV28Y3,LOME COMMUNE
Q5BK8XEM,CINKASSE
QK6RD0CH,KPENDJAL-OUEST
QNE5AS6C,PLAINE DU MO
QPB1YYRY,ANIE
QQ8Z3DOV,DANYI
QU7QSVGS,LOME COMMUNE
R4DNBXGL,KPENDJAL-OUEST
RH9604A1,TCHAOUDJO
RJWIR8DL,LOME COMMUNE
RR13MTWZ,MOYEN-MONO
RU3LLYRM,KOZAH
RWO7A9Z2,LOME COMMUNE
RXWZ61FH,TCHAOUDJO
RXXFANJ3,CINKASSE
S38K1ZXD,LOME COMMUNE
SB2GZAJU,GOLFE
SG8WV7D2,ANIE
SJ02XAIM,LOME COMMUNE
SVK701Q4,TCHAOUDJO
T105K8U0,KPELE
TEKPAR8P,AKEBOU
TEZK7G1F,KPENDJAL-OUEST
TKBXHJOX,GOLFE
TM4KSMO9,KPENDJAL-OUEST
TV465N8P,MOYEN-MONO
UH87QXHH,WAWA
UHX8BQMK,LOME COMMUNE
UPUH33XF,AGOE-NYIVE
UTP1PFWB,AMOU
UW3JX66G,WAWA
UYRRM4JD,ANIE
V2J558WL,KPENDJAL-OUEST
W02707BQ,MOYEN-MONO
W6QZ7S00,DOUFELGOU
XAJI0Y6D,LOME COMMUNE
XP0CZNVG,LOME COMMUNE
XZ8HC3LN,AMOU
YDGVL625,BASSAR
YDW44SWN,TANDJOARE
YWUR3EKV,KOZAH
Z4G9GYD1,KOZAH
Z6A73C32,EST-MONO
ZGDN1K5V,KLOTO
